Pais;202101;202102;202103;202104;202105;202106;202107;202108;202109;202110;202111;202112;202201;202202;202203;202204;202205;202206;202207;202208;202209;202210;202211;202212;202301;202302;202303;202304;202305;202306;202307;202308;202309;202310;202311;202312;Total general
Denmark;538111;735890;778535;943890;732698;659525;734972;650434;579383;636103;689244;551302;158307;372984;351276;355012;292325;303999;306824;299977;191616;309406;239515;290855;212249;271095;285391;319793;377169;248211;347405;300328;233541;340160;234395;271107;15143027
France;11453778;16816339;16729529;19332586;15458220;16516322;17667630;15744991;14819727;13700302;13710636;13703368;7090874;12958576;12469176;11205511;10685284;11059201;10822809;9475785;8988155;8130377;8207273;9320895;7082376;9984816;9887591;9880299;10053858;11143220;11668049;9146542;10307988;8076933;8773854;8619810;420692680
Germany;14773129;23238320;22460498;28692077;24949393;21687029;23845193;21402764;21313941;20266553;19469285;20519547;11145386;19058689;17025293;16429687;15782899;16624675;16075893;14721916;14022457;13210080;13311813;13471547;12290887;16136011;15954249;16417836;18486073;18653278;18934071;16947313;15174746;14819735;14596869;14752178;636661310
Greece;538006;761859;710780;941243;768828;755579;800828;766029;579860;590170;654897;632904;238188;338321;240060;364372;343656;291206;317170;227811;258665;258744;227908;259757;219183;302434;287773;341682;307066;305274;355641;287606;267546;241565;252563;249975;15285149
Ireland;427494;696599;745804;1030552;726280;719109;785985;712169;532995;636195;570725;647323;222716;336225;315256;381983;385419;246008;267054;237699;273125;248011;236431;219382;197430;282995;226266;283718;218716;292378;285033;303339;316499;249174;296312;226696;14779095
Italy;1646794;2182215;2383731;2654577;2460104;2216393;2446106;2038114;2000278;2521180;2380126;2720313;808603;1482742;1197506;1244921;1235384;1196899;1282110;1106448;1047231;929568;846584;986148;902491;958140;1131046;1175514;1122257;1145458;1276161;1250482;1075224;928996;981198;1219647;54180689
Malta;570765;698968;580797;853639;695717;647868;819250;703891;531093;555587;694480;587169;213922;287210;270437;279568;309887;266594;294737;313066;289780;245693;256706;272397;180636;224856;291129;282048;368868;342639;285021;247782;211255;260600;234634;261001;14429690
Poland;580924;692543;675566;865122;758547;791366;812729;712254;681600;622648;644601;611853;217978;393783;283453;410706;337131;281063;369711;376410;267574;262110;258880;223688;193344;221779;252951;258844;295007;270503;286392;268866;278272;229622;245363;188664;15121847
Portugal;507016;710945;700853;961034;793749;735763;707575;634874;546811;645094;630585;627968;158950;340364;290883;335451;367090;260857;294075;316855;277203;213031;265534;226060;231875;250870;245356;308827;375447;258548;254899;312105;188987;292509;264151;236747;14768941
Romania;574620;806791;719589;907342;749428;656444;773517;742258;765991;739823;644391;633414;186436;455659;280705;354240;290756;304665;330654;283059;292719;246942;240079;210857;240299;241161;259230;368054;320697;274274;283443;200100;239160;275569;227112;315446;15434924
Russia;2063535;2835705;2811562;3183029;2986620;2664167;3050230;2793234;2694155;2492581;2422041;3029590;1297119;1688322;1397007;1800171;1588127;1751272;1769621;1429218;1566642;1403586;1386240;1370163;1405644;1431390;1386009;1679042;1653905;1630584;1366346;1601132;1445135;1383799;1228820;1348539;69034282
Slovenia;653783;943978;799437;746893;785699;639624;620423;709408;643082;478780;668104;683954;186745;367537;313211;293537;272300;410368;316130;264641;216040;285599;255002;220634;244037;211828;237389;286470;351248;285162;347604;318488;308991;218451;282573;221133;15088283
Spain;627515;731732;913470;805130;711489;699812;816123;691582;732796;568655;537785;666686;208279;321743;302382;264767;274204;304274;275913;302209;286262;334791;240605;237142;192790;289047;278367;415362;316237;277794;264174;255806;194116;232727;209374;205592;14986732
Sweden;649216;811862;789570;893831;686402;666393;672226;641914;674096;535077;604414;636155;171753;333490;338451;314676;282938;324488;321138;300703;254636;266359;243527;220543;190358;311690;195342;350829;325041;231834;283512;223397;193638;246552;223349;243444;14652844
Switzerland;570041;702955;719066;824501;685412;703431;739692;692331;696973;606510;587274;732323;128331;298931;310270;265540;344899;232382;295240;283212;305626;256335;279612;183165;167689;322771;287221;262490;291504;333905;289400;206718;228375;215854;204297;207811;14462087
the Netherlands;565061;816991;712841;904336;721433;819197;720483;718821;515040;665756;597269;592669;209283;347809;280112;306169;319714;281034;348702;264215;311174;271813;237987;356593;154309;269665;203183;254478;280499;305601;335335;281444;191035;184692;242842;220970;14808555
United Kingdom;7332674;10589292;11016091;12833934;9729496;9758328;10223156;10017723;9606462;9163198;8813501;9753098;3329480;5205674;4831920;5003142;4733518;4597525;4765843;4801394;3917313;3794403;4064861;4327891;3368723;3790892;4054019;4094773;4120152;4174158;4532249;4228504;3989569;3596864;3466279;3446401;219072500
Total general;44072462;64772984;64247719;77373716;64399515;61336350;66236118;60372791;57914283;55424212;54319358;57329636;25972350;44588059;40497398;39609453;37845531;38736510;38453624;35004618;32766218;30666848;30798557;32397717;27474320;35501440;35462512;36980059;39263744;40172821;41394735;36379952;34844077;31793802;31963985;32235161;1578602635
